cap_inc,lab_inc,financial_assets,nonfinanc_assets,weights
0,600,50,641,1407.7018495
960,0,300,52500,2640.327547
141,46488,29538,120115,1680.3651915
0,4800,20,180000,756.791205
0,15396,35000,120000,3647.3728365
0,0,3000,263070,3492.58381
77132,20400,225000,2960000,6.912697
338,9960,172490,179500,1106.94328
0,0,8000,0,1271.344324
0,0,2000,0,787.1160715
28400,12600,466439,575000,1345.6294045
6830,15399.999999999998,72000,475000,2265.102601
0,0,504,114072,1628.519081
0,0,317,210000,2533.7185925
0,9600,14400,80000,586.8996335
5,25152,2134,124556,1730.267866
2880,18720,2240,102000,622.590933
30400,0,15000,132223,1287.764108
0,0,500,0,1340.3585405
6000,52800,96000,505000,1196.419098
60000,0,400000,1861566.72,35.156342
0,36852,8025,0,2962.898815
0,12156,48000,0,1326.939476
0,0,600,19371.5,1882.0993635
9000,42000,181000,345584,1739.5502515
0,13380,21193,335972,1374.1955635
41200,0,570000,600000,32.417028
30,60000,180000,1054000,952.309262
27560,38640,1573105,2476516,37.3975365
660,56596,14000,173500,703.927717
0,21600,650000,406163,439.568406
0,0,250,0,2650.3279615
0,42000,21000,467754,4025.007536
947,0,23088,2423528,11.45406
0,11400,700,7500,4958.2431835
3000,19000,2000,290000,1768.509752
161640,377160,4371749,626881231,25.3011165
0,0,0,0,1457.55942
1200,9808,1181421,55525,1464.911768
0,49200,21114,129966,647.689937
0,24792,3848,93630,1866.6941035
130927.4,69753.59999999999,3219711,30306216,14.903462
6,43200,17000,470000,3322.7875045
0,0,0,0,5119.830656
300,32196,14805,101342,1019.402594
13600,9600,129373,510331,17.887258
100,81396,12217,204000,1114.423665
14500,0,882000,1100000,38.54386
0,4800,4300,126000,1738.025991
0,25200,100,140000,2970.683065
6010,0,60101,194127,704.2618945
2880,11400,35200,220000,3451.8644745
3,18456,50000,169123.48,1687.1031905
225300,0,8623743,2900276.6,16.2655245
100,72000,16000,306000,650.165582
1080,2520,600,3000,2181.833769
18000,9600,240000,2069810,39.5527285
0,0,16376,705000,1952.6509695
0,0,14000,62000,1647.4236325
6,45180,27600,177543,4771.9097845
10950,0,9800,2011265,935.340389
105394.3,283790.69999999995,2979000,507280,8.0125145
0,0,0,0,16042.726367
37770,63800,2076321,1815175.00625,26.924667
0,19200,1100,200000,1047.390832
0,30924,3000,80000,1322.881565
0,2400,8825,561195,453.509174
2820,38712,43177,200000,1413.2230115
0,0,7000,134142,769.9127275
51500,0,874919,137520,26.74006
278,0,67435,268911,21.973614
0,6288,2000,180304,788.8205495
14000,0,116000,507753,5.6589635
13300,0,168000,1500000,13.817565
0,0,1200,0,2678.808016
2700,0,142000,375101,1435.1221465
2,45996,26000,161048,968.2983245
0,19200,85000,150000,515.940142
21551,49176,34173,227299,759.5947735
6000,0,218226,1149000,1670.4577825
120000,0,4035000,10145059.79,6.3174345
0,24000,6000,144243,845.5112475
20,36900,55000,180000,4407.8730045
6220,20000,13809,100000,14954.3703545
3603.6,8408.4,78449,1063791,1428.563902
0,0,65667,560443,2505.14048
0,12000,8,0,1856.720518
0,0,800,80100,2270.8033745
27600,0,28000,270000,1975.4622455
0,0,6500,129803,1306.893786
560,12684,75685,119536,570.2246735
9005,21000,123000,365000,3462.8558975
3600,8400,1300,670000,2751.1650885
520000,0,162000,2155000,43.297179
0,44400,12177,91760,690.3463425
13300,139200,354824,390000,1676.0361785
3643,19716,268220,1087475,7.449682
0,21000,18399,133259,2725.5641835
0,12660,31200,217126.5,1595.639455
1525,0,90000,95164.9,1629.1063825
4952,12000,221450,396090,29.1078815
5600,8400,447000,2318383.5,44.4795575
0,46800,500,320000,1073.6587915
0,0,12000,240404,1002.1376445
0,0,10000,70065.5,3492.58381
17938,29280,399862,3970714,63.427115
500,0,176504,655000,19.292667
0,0,400,0,2886.8022945
4200,8400,43800,118182,2290.6656105
1200,0,130000,720000,1321.0944765
0,18000,25500,180904,1699.358889
40,60000,5350,0,1373.6410075
13805,42700,18000,305000,1132.6102915
0,17448,3817,149859,1315.7741035
0,0,73539,7024170,56.903401
5880,34200,26000,438600,2642.596871
200,0,34000,1175291,34.6552915
432,0,250588,336983,905.271197
900,21780,7095,223030,1054.3418535
15000,0,3829000,1180860,13.5576785
0,0,2900,35000,873.8989435
490,16096,25000,0,1156.86612
1,0,3180,107000,522.005289
749,0,440236,851659.4199999999,18.5533965
0,0,651,6000,1687.193695
259100,56288,516002,1191113,50.6430135
0,11160,1000,79934.26,2081.175315
0,0,20,120000,1633.8634465
38000,0,4650000,6572639,14.127666
0,0,1000,0,1925.040391
0,52992,41300,130000,7934.693616
4320,10080,104379,573376.5,708.759579
0,27192,1000,190000,6299.005995
13020,38922,53000,370000,24.440642
6453,31209,13060,94000,4232.1614635
22054,37248,1571332,448955,12.223008
0,16764,25020,108182,1624.879336
0,0,30190,531792,1320.4801095
10,33600,15500,161000,3045.1838155
0,4800,365,300506,721.8490345
0,17964,666,500,1845.736882
0,64392,1103752,844191,21.4512805
82000,0,60000,608000,2001.799937
30100,0,206000,620000.00625,5640.5999685
432,0,123900,789000,216.692025
4200,33560,14000,85000,1203.931009
30,49200,10200,200000,1507.3982015
16,48372,10424,236300,1992.88696
10023.6,28188.4,17000,137042,2017.21282
45000,0,1750000,2038888,15.836819
0,0,2640,71325,2617.3758315
0,8544,90,80000,1383.824645
8160,33600,139069,548912,882.306152
0,16800,13500,260738,716.8414255
150,36000,107000,105000,1341.9518265
0,0,118000,221092,1882.2548255
6316,12600,37600,151834,1594.7819425
3000,0,679247,350202,25.259099
5100,18000,175000,2100000,1009.3210165
10800,25200,1400,1443088,23.8224775
0,22392,500,932168.5,393.28617
0,28644,3708,30000,1279.738273
0,40416,29600,193500,2938.459992
11781,46569,20334,410600,1413.8548475
0,34800,4000,26400,467.3946345
82320,17080,122000,1023684,38.54386
0,3600,0,6851,196.2272805
0,36300,5965,458561,24.8139365
200,0,136160,782121,23.7263085
47018,6996,1480000,1301803,28.4543365
100,12000,4000,460526,921.605531
4300,0,34000,290000,1546.527437
5281,25992,119001,625052,479.838707
32750,4200,1123000,667455,91.8443115
68,0,151198,200000,1060.4550835
80,0,235500,287879,2085.5371645
984,0,515712,466000,18.5533965
17448.899999999998,40714.1,537765,1344642,26.0054305
28394.4,77053.59999999999,12500,5707560,3.492455
0,27600,1200,147801,41.395041
1,9720,4500,90000,2022.166088
0,0,72123,692692,902.540106
0,9000,64,0,1357.1490765
0,0,10577,294194,841.1769385
0,31320,20000,121000.00005859377,620.451554
0,0,5000,0,1593.367267
75,48600,45714,1000,1077.717386
0,14400,900,0,2451.300814
20778,0,1350000,935000,3322.3462465
4320,80076,30000,330000,9908.2908635
0,5700,100,102680,309.5961905
0,0,2000,0,2037.8293835
400,0,107000,3700000,1191.264933
0,0,229,68326.38,3492.58381
5000,0,330000,116000,930.9153905
20000,18192,142200,120000,1799.7775605
0,0,60000,314506,1253.360854
491,0,120100,500,1763.953566
23400,0,64000,990000,1398.8223895
0,15600,211500,294000,4162.8891885
100,19320,45000,312526,82.0573435
9,30348,29000,167134,1390.9384245
30000,74400,162436,1293074,256.62339
0,0,300,0,3492.58381
0,30984,3000,130000,1642.5313575
70,45960,22092,0,1925.0064665
0,19992,18710,114753,1708.222797
18500,60000,135000,785343.2,656.0599165
0,15756,755,110000,1406.116942
0,31200,21000,251000,166.8328885
35925,20400,255294,433064,17.1726125
9015,0,73500,360829,1657.283561
0,0,50500,580000,802.688834
200,0,10000,527657.5,6.4938965
0,47136,56000,56490,717.49844
0,22200,5000,17999.99953125,1292.0808215
0,0,1000,180000,2368.0048885
0,22200,50,0,1946.746
0,0,200,60000,1732.8074055
40300,30000,1080163,335600,50.317163
36134,0,95239,257958.5,1265.714872
0,0,967,158595.5,397.6940825
0,16080,820,256000,405.458278
1500,0,548,0,8537.32703
10800,27600,48000,348449,3786.536619
0,0,279,14697.5,2613.528095
0,16140,800,200000,1790.298407
4800,27600,34359,627080,1804.7427155
20400,0,11498,140846,5458.2586555
1250,0,60000,405719,2871.4817015
1800,18000,225554,782405,1731.0028385
0,10800,40000,570961,546.514424
140,28800,41510,100000,5200.5152335
0,2400,100,0,2940.6552195
0,31992,27600,200000,1708.222797
8322,57494,35100,30000,2818.0125555
7200,36000,10000,460000,2054.446442
11000,0,1980,113892.24,2144.009867
0,0,8500,164802,192.264888
3600,8400,14000,151026,572.232464
0,4800,300,51803,466.9729215
4681,0,2378933,500000,18.168713
4725,11025,500,332015,841.93148
0,14400,1000,110182,1011.1607765
16600,42000,850000,1660000,32.2367335
0,39600,500,281427,981.6009825
0,12312,2200,0,1145.76058
28200,65800,41000,928616.14,983.5434745
100,0,39000,240000,2819.8840565
1400,0,61401,516582,1444.647464
24,0,10605,0,3162.7013685
0,0,3000,79729,1533.82555
0,15600,8000,170000,2768.018351
48600,98000,567000,2160500,9.700083
0,38400,16290,0,771.6949655
4800,0,20000,330000,920.1951065
1620.2,28968.8,8351,129802,1502.796026
0,31200,10000,122000,22.9736305
132916,18000,1268860,7468241,19.0992325
5400,12600,2000,91759.6,439.027904
7642,0,231000,1105909,1199.7317955
1184,11700,10000,240000,1739.5990845
6000,27000,15000,80000,4969.0657635
33,55548,30000,183600,2510.5788
6132,0,1260261,29899705.5,21.4512805
34220,64679.99999999999,1552000,1801000,5.435114
44213.6,91498.4,494599,2043448,13.772381
0,0,782,164356,1430.71075
0,0,300,0,4500.898803
0,61440,540,123000,1364.186219
0,4800,1000,23424.39,9.2554855
0,7800,1500,160000,928.1795015
6503,42000,18000,100000,19.5829845
